cp_id,cp_state,district_id,address_en,address2_en,address_tc,address2_tc,address_sc,address2_sc,lat,lgt,waste_type,legend,accessibilty_notes,contact_en,contact_tc,contact_sc,openhour_en,openhour_tc,openhour_sc,GeometryLongitude,GeometryLatitude
288,Accepted,Kwai_Tsing,Tai Wong Ha Resite Village Rcp,,大王下村垃圾收集站,,大王下村垃圾收集站,,22.352730,114.101100,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.10110000000009,22.352730000000065
309,Accepted,Kwai_Tsing,"Kau Wah Keng Sun Chuen Refuse Collection Point At Kau Wa Keng San Tsuen, Lai King Hill Road, Kwai Chung, N.T.",,九華徑新村垃圾收集站 ，葵涌荔景山路九華徑新村,,九华径新村垃圾收集站 ，葵涌荔景山路九华径新村,,22.344277,114.135619,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,,114.13561900000002,22.344277000000034
314,Accepted,Kwai_Tsing,"Cheung Hang Village (pump Station) Refuse Collection Point (kwt-23) At Near Pump Station, Cheung Hang Village",,長坑村（泵房）垃圾收集站 (KwT-23)，長坑村近泵房,,长坑村（泵房）垃圾收集站 (KwT-23)，长坑村近泵房,,22.346372,114.140490,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.14049000000011,22.34637200000003
317,Accepted,Kwai_Tsing,"Fung Shue Wo Resite Village Refuse Collection Point At Tsing Yu Street , Tsing Yi",,楓樹窩村垃圾收集站，青衣清譽街,,枫树窝村垃圾收集站，青衣清誉街,,22.354849,114.100855,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.10085500000002,22.35484900000006
323,Accepted,Kwai_Tsing,"Kau Wah Keng Old Tsuen, Lai King Hill Road",,荔景山路九華徑舊村,,荔景山路九华径旧村,,22.343850,114.137160,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,,114.13716000000011,22.34385000000003
324,Accepted,Tuen_Mun,"Pavement Of Shun Tat Street (outside No. 750, Shun Fung Wai)",,順達街行人路(在順風圍750號對出),,顺达街行人路(在顺风围750号对出),,22.424648,113.991080,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99108000000001,22.424648000000047
325,Accepted,Tuen_Mun,At Side Of Bin Site At Tong Hang Road (opposite To Ming Wong Garden),,塘亨路路邊垃圾桶站側(明煌花園對面),,塘亨路路边垃圾桶站侧(明煌花园对面),,22.413141,113.969319,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.96931900000004,22.413141000000053
326,Accepted,Tuen_Mun,Cul-de-sac Of Yeung King Road (near Parking Space (opposite To The Fiberglass Refuse Collection Point)),,楊景路盡頭(近停車位(即纖維垃圾站對面)),,杨景路尽头(近停车位(即纤维垃圾站对面)),,22.395287,113.962854,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.9628540000001,22.395287000000053
327,Accepted,Tuen_Mun,Ka Choi Lane Rcp,,嘉才里垃圾收集站,,嘉才里垃圾收集站,,22.369642,113.997542,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99754200000007,22.369642000000056
334,Accepted,Tuen_Mun,Public Light Bus Terminus At So Kwun Wat (near Lee Uk Tsuen),,掃管笏(近李屋村)小巴總站,,扫管笏村路 (近灯柱FB2594),,22.376920,114.007350,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.00735000000009,22.37692000000004
